code,fish,Tonnage2015,Tonnage2016,Tonnage2017,Tonnage2018,Tonnage2019,Value2015,Value2016,Value2017,Value2018,Value2019
Kinlochbervie,Black scabbardfish,126.51,95.64,85.08,52.15,28.70,159.91,127.70,133.55,91.86,54.90
Kinlochbervie,Blue ling,319.91,255.91,600.89,694.88,648.18,386.38,279.37,591.58,628.33,594.60
Kinlochbervie,Cod,387.71,523.87,571.11,904.47,1067.10,758.81,1048.25,1325.60,2295.47,3102.89
Kinlochbervie,Forkbeard,57.50,43.63,47.66,70.34,70.66,36.59,29.14,47.57,61.91,58.48
Kinlochbervie,Gurnards,37.11,57.77,21.90,38.38,65.35,12.15,22.47,8.86,15.83,26.94
Kinlochbervie,Haddock,1886.01,1851.04,1518.00,1300.21,1685.73,2558.56,2568.28,2205.80,1809.11,2373.45
Kinlochbervie,Hake,206.09,315.81,323.75,311.22,307.97,295.20,590.92,731.40,704.00,731.65
Kinlochbervie,Lemon sole,27.55,43.67,21.65,23.74,25.20,96.39,142.28,87.82,84.37,73.94
Kinlochbervie,Ling,372.33,483.08,643.64,583.59,692.70,452.58,729.21,1309.34,1014.16,1138.38
Kinlochbervie,Megrims,296.87,376.21,316.16,401.18,445.24,633.89,901.58,863.43,1083.56,1192.20
Kinlochbervie,Monkfish,1265.73,1685.06,1681.93,1442.37,1329.95,3148.16,4767.35,5123.56,4882.52,4518.91
Kinlochbervie,Plaice,28.85,56.94,94.80,241.01,100.29,19.03,56.36,119.84,472.82,172.04
Kinlochbervie,Saithe,1176.02,1289.60,1302.86,969.40,883.38,942.84,1206.93,1304.09,773.00,785.42
Kinlochbervie,Skates and rays,46.44,72.57,80.80,141.10,93.72,45.68,73.23,81.99,133.91,77.37
Kinlochbervie,Tusk,66.14,41.04,43.97,63.74,49.43,47.98,27.30,29.74,43.47,35.29
Kinlochbervie,Whiting,83.93,101.48,74.15,70.37,117.76,83.26,111.77,91.13,88.02,147.49
Kinlochbervie,Other demersal,282.73,549.08,171.19,144.66,77.56,631.37,1232.55,461.30,577.60,326.35
Kinlochbervie,Total demersal,6667.43,7842.39,7599.55,7452.80,7688.93,10308.78,13914.69,14516.59,14759.94,15410.28
Kinlochbervie,Total pelagic,15.91,15.29,8.60,6.57,17.24,8.86,9.67,1.44,2.43,3.99
Kinlochbervie,Edible crabs,233.71,178.55,141.04,183.81,74.54,282.53,374.17,234.80,517.88,187.12
Kinlochbervie,Nephrops,46.77,98.80,34.95,47.35,34.56,207.80,414.70,176.50,284.85,183.91
Kinlochbervie,Squid,144.96,55.71,152.19,245.05,368.95,387.21,240.15,530.43,1188.23,1960.26
Kinlochbervie,Other shellfish,39.63,54.61,68.63,33.32,33.95,167.35,214.46,289.96,208.86,203.66
Kinlochbervie,Total shellfish,465.07,387.68,396.82,509.53,511.99,1044.89,1243.48,1231.69,2199.82,2534.95
Kinlochbervie,Total landings,7148.42,8245.36,8004.97,7968.90,8218.16,11362.53,15167.84,15749.71,16962.19,17949.22
Lochinver,Black scabbardfish,1992.54,2339.19,1751.90,1392.88,1170.74,2854.21,3852.28,2493.46,1898.00,1534.18
Lochinver,Blue ling,848.93,810.16,862.32,1098.68,1391.73,1048.30,1084.53,920.37,1142.80,2100.74
Lochinver,Bluemouth,84.13,79.79,92.00,107.47,141.45,139.25,160.04,195.27,150.86,257.29
Lochinver,Cod,7.06,92.05,139.43,117.84,163.38,12.37,197.73,295.24,248.74,420.05
Lochinver,Common mora,42.91,39.09,24.53,36.28,46.40,46.17,55.99,36.17,62.98,78.36
Lochinver,Forkbeard,432.31,427.26,363.73,354.68,370.27,752.17,767.03,590.19,173.85,310.49
Lochinver,Greenland halibut,112.33,58.64,49.16,69.47,76.79,291.97,182.30,135.32,199.38,210.72
Lochinver,Haddock,51.55,75.66,118.53,74.43,106.30,69.25,104.71,149.52,110.32,125.02
Lochinver,Hake,5296.95,5372.21,5498.01,3142.54,3266.46,14276.01,16213.88,12277.28,6545.56,6667.78
Lochinver,Ling,1690.69,1991.38,1752.28,1450.94,1740.25,2499.14,3131.74,2801.21,2212.70,2541.41
Lochinver,Megrims,217.53,264.26,399.97,336.24,446.65,642.05,752.94,1120.35,900.52,1115.55
Lochinver,Monkfish,750.72,1388.79,1566.59,943.81,1180.66,1820.32,3713.58,3727.75,2313.37,3013.83
Lochinver,Rabbit fish,130.85,112.73,127.11,106.09,131.48,69.62,64.73,87.03,123.48,148.83
Lochinver,Redfish,28.39,53.63,60.56,42.80,80.51,57.66,106.52,109.27,78.46,104.41
Lochinver,Roundnose grenadier,298.94,389.03,96.42,139.72,120.27,321.23,529.03,102.67,177.96,119.82
Lochinver,Saithe,2670.65,1953.04,2809.99,2783.87,1481.11,2717.48,2147.62,2825.51,1881.62,974.66
Lochinver,Skates and rays,108.14,123.83,124.13,99.67,120.56,105.92,158.70,135.34,107.47,109.08
Lochinver,Tusk,215.41,192.38,148.37,151.26,143.28,175.73,165.22,123.45,101.60,121.61
Lochinver,Witches,9.75,7.65,16.55,14.81,31.06,13.28,8.48,19.32,13.67,36.62
Lochinver,Other demersal,38.34,51.89,30.92,44.07,49.22,93.27,97.38,70.31,63.15,97.43
Lochinver,Total demersal,15028.11,15822.66,16032.53,12507.56,12258.57,28005.40,33494.41,28215.02,18506.48,20087.88
Lochinver,Total pelagic,0.50,0.04,0.02,0.01,0.00,0.00,0.02,0.00,0.01,0.00
Lochinver,Edible crabs,49.44,190.90,23.64,42.53,83.81,88.42,309.73,40.55,143.58,214.33
Lochinver,Nephrops,437.46,381.56,290.75,167.31,228.40,1729.22,1488.60,1190.41,1039.03,1444.45
Lochinver,Squid,13.06,11.16,31.22,29.80,36.59,45.80,31.79,44.76,65.90,20.39
Lochinver,Other shellfish,15.75,24.62,23.92,18.49,18.86,73.22,103.94,113.78,109.30,96.76
Lochinver,Total shellfish,515.71,608.25,369.53,258.13,367.67,1936.65,1934.06,1389.49,1357.81,1775.93
Lochinver,Total landings,15544.32,16430.95,16402.07,12765.70,12626.24,29942.05,35428.48,29604.52,19864.30,21863.81
Mallaig,Haddock,400.66,417.20,299.06,246.58,131.02,491.19,600.89,460.14,326.25,194.94
Mallaig,Megrims,48.74,39.00,21.86,41.32,25.54,74.03,65.90,46.68,93.86,41.66
Mallaig,Monkfish,468.44,218.90,102.78,132.31,101.34,957.97,568.85,319.42,386.40,313.31
Mallaig,Other demersal,244.91,208.45,99.19,105.40,87.85,313.95,344.38,277.32,869.23,615.14
Mallaig,Total demersal,1162.75,883.55,522.89,525.61,345.75,1837.13,1580.02,1103.57,1675.75,1165.05
Mallaig,Sprats,1060.42,2176.94,1326.03,0.00,1171.87,248.76,501.90,294.06,0.00,316.63
Mallaig,Other pelagic,34.81,13.30,76.98,0.01,6.93,16.10,6.72,9.24,0.01,1.34
Mallaig,Total pelagic,1095.23,2190.24,1403.01,0.01,1178.80,264.87,508.63,303.30,0.01,317.97
Mallaig,Edible crabs,74.56,44.26,34.09,40.84,86.97,109.78,59.22,69.22,107.11,222.81
Mallaig,Nephrops,1656.73,2371.88,1904.34,1096.54,852.97,6093.64,8587.78,7033.14,4456.69,3751.47
Mallaig,Razor fish,1.14,0.00,0.00,7.06,91.12,2.54,0.00,0.00,50.97,658.89
Mallaig,Scallops,327.26,396.58,370.67,196.27,235.45,735.05,994.07,1008.36,505.96,575.52
Mallaig,Velvet crabs,25.67,29.04,22.49,15.45,20.85,53.80,67.26,62.99,54.06,56.55
Mallaig,Other shellfish,49.67,37.48,81.21,22.10,25.41,86.23,94.78,237.15,52.22,87.61
Mallaig,Total shellfish,2135.04,2879.24,2412.81,1378.26,1312.77,7081.03,9803.11,8410.85,5227.01,5352.85
Mallaig,Total landings,4393.01,5953.03,4338.71,1903.87,2837.32,9183.03,11891.76,9817.72,6902.77,6835.87
Oban,Haddock,0.61,2.88,12.61,7.73,21.47,0.66,1.77,13.62,5.09,20.86
Oban,other demersal,11.59,16.95,26.60,27.43,35.33,245.95,397.90,119.20,354.94,512.70
Oban,Total demersal,12.20,19.83,39.21,35.16,56.80,246.61,399.67,132.81,360.04,533.56
Oban,Total pelagic,9.92,0.14,0.49,0.30,0.41,5.72,0.86,0.61,0.35,0.51
Oban,Edible crabs,362.15,420.68,484.31,643.65,757.16,418.09,540.35,859.12,1673.84,1761.54
Oban,Lobsters,53.39,62.94,62.45,67.46,73.99,551.95,755.56,856.82,947.03,1076.46
Oban,Nephrops,748.11,804.47,694.20,557.27,489.41,3353.46,3599.81,3854.74,3873.41,3429.35
